Recipe_ID,Recipe_Name,Category,Cuisine,Ingredients,Main_Ingredient,Meal_Type,Difficulty_Level,Preparation_Time_Min,Calories_kcal,Target_Country,Validation_Source
780,Lacha Paratha,Bakery,Indian,"Lacha, Basic Spices, Oil, Salt",Paratha,Lunch,Hard,53,695,India,Authentic Culinary Database
781,Beef Enchiladas,Grains/Legumes,Mexican,"Beef, Basic Spices, Oil, Salt",Beef,Breakfast,Medium,49,670,India,Authentic Culinary Database
782,Rogan Josh,Protein,Indian,"Mutton, Yogurt, Spices, Ginger",Josh,Dinner,Medium,35,341,India,Authentic Culinary Database
783,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Breakfast,Medium,39,554,India,Authentic Culinary Database
784,Vegetable Pulao,Grains/Legumes,Indian,"Basmati Rice, Mixed Vegetables, Whole Spices",Pulao,Snack,Easy,42,533,India,Authentic Culinary Database
785,Apple Pie,Grains/Legumes,American,"Apple, Basic Spices, Oil, Salt",Apple,Breakfast,Medium,47,506,India,Authentic Culinary Database
786,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Lunch,Hard,16,173,India,Authentic Culinary Database
787,Dim Sum,Bakery,Chinese,"Dim, Basic Spices, Oil, Salt",Dim,Lunch,Hard,57,656,India,Authentic Culinary Database
788,Butter Kulcha,Bakery,Indian,"Butter, Basic Spices, Oil, Salt",Butter,Dinner,Hard,24,654,India,Authentic Culinary Database
789,Lamb Korma,Protein,Indian,"Lamb, Basic Spices, Oil, Salt",Lamb,Breakfast,Medium,39,220,India,Authentic Culinary Database
790,Kheer,Dairy,Indian,"Kheer, Basic Spices, Oil, Salt",Kheer,Breakfast,Hard,32,206,India,Authentic Culinary Database
791,Paneer Bhurji,Dairy,Indian,"Paneer, Basic Spices, Oil, Salt",Paneer,Breakfast,Hard,46,417,India,Authentic Culinary Database
792,Tiramisu,Grains/Legumes,Italian,"Tiramisu, Basic Spices, Oil, Salt",Tiramisu,Dinner,Hard,32,696,India,Authentic Culinary Database
793,Rajma Masala,Grains/Legumes,Indian,"Rajma, Basic Spices, Oil, Salt",Rajma,Breakfast,Hard,20,444,India,Authentic Culinary Database
794,Lasagna,Grains/Legumes,Italian,"Lasagna, Basic Spices, Oil, Salt",Lasagna,Lunch,Medium,53,402,India,Authentic Culinary Database
795,Lamb Korma,Protein,Indian,"Lamb, Basic Spices, Oil, Salt",Lamb,Dinner,Hard,49,594,India,Authentic Culinary Database
796,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Lunch,Hard,23,610,India,Authentic Culinary Database
797,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Dinner,Easy,48,256,India,Authentic Culinary Database
798,Keema Matar,Protein,Indian,"Keema, Basic Spices, Oil, Salt",Keema,Snack,Medium,20,266,India,Authentic Culinary Database
799,Chicken Saag,Protein,Indian,"Chicken, Basic Spices, Oil, Salt",Chicken,Snack,Medium,39,243,India,Authentic Culinary Database
800,Butter Kulcha,Bakery,Indian,"Butter, Basic Spices, Oil, Salt",Butter,Dinner,Easy,17,686,India,Authentic Culinary Database
801,Neer Dosa,Bakery,Indian,"Neer, Basic Spices, Oil, Salt",Dosa,Dinner,Easy,39,302,India,Authentic Culinary Database
802,Hot Dog,Grains/Legumes,American,"Hot, Basic Spices, Oil, Salt",Hot,Snack,Hard,23,480,India,Authentic Culinary Database
803,Rumali Roti,Bakery,Indian,"Rumali, Basic Spices, Oil, Salt",Rumali,Snack,Easy,37,190,India,Authentic Culinary Database
804,Aloo Paratha,Bakery,Indian,"Aloo, Basic Spices, Oil, Salt",Paratha,Breakfast,Easy,15,499,India,Authentic Culinary Database
805,Garlic Naan,Bakery,Indian,"Flour, Garlic, Butter, Yeast",Naan,Snack,Medium,22,576,India,Authentic Culinary Database
806,Margherita Pizza,Dairy,Italian,"Flour, Tomato Sauce, Mozzarella Cheese, Basil",Pizza,Lunch,Hard,44,251,India,Authentic Culinary Database
807,Egg Roast,Protein,Indian,"Egg, Basic Spices, Oil, Salt",Egg,Snack,Easy,43,258,India,Authentic Culinary Database
808,Pongal,Grains/Legumes,Indian,"Pongal, Basic Spices, Oil, Salt",Pongal,Breakfast,Hard,41,183,India,Authentic Culinary Database
809,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Breakfast,Medium,40,397,India,Authentic Culinary Database
810,Butter Chicken,Protein,Indian,"Butter, Tomato Puree, Butter, Cream, Spices",Butter,Dinner,Hard,41,449,India,Authentic Culinary Database
811,Egg Roast,Protein,Indian,"Egg, Basic Spices, Oil, Salt",Egg,Dinner,Medium,55,476,India,Authentic Culinary Database
812,Fried Rice,Bakery,Chinese,"Fried, Basic Spices, Oil, Salt",Rice,Lunch,Easy,44,515,India,Authentic Culinary Database
813,Lacha Paratha,Bakery,Indian,"Lacha, Basic Spices, Oil, Salt",Paratha,Snack,Easy,17,381,India,Authentic Culinary Database
814,Goan Fish Curry,Protein,Indian,"Goan Fish, Basic Spices, Oil, Salt",Goan,Dinner,Hard,27,687,India,Authentic Culinary Database
815,Jeera Rice,Grains/Legumes,Indian,"Basmati Rice, Cumin Seeds, Ghee",Rice,Breakfast,Medium,58,179,India,Authentic Culinary Database
816,Butter Chicken,Protein,Indian,"Butter, Tomato Puree, Butter, Cream, Spices",Butter,Snack,Medium,30,504,India,Authentic Culinary Database
817,Chicken Tacos,Grains/Legumes,Mexican,"Tortilla, Chicken, Salsa, Lettuce, Cheese",Tacos,Lunch,Easy,54,268,India,Authentic Culinary Database
818,Hot Dog,Bakery,American,"Hot, Basic Spices, Oil, Salt",Hot,Snack,Medium,29,439,India,Authentic Culinary Database
819,Risotto,Grains/Legumes,Italian,"Risotto, Basic Spices, Oil, Salt",Risotto,Breakfast,Medium,54,221,India,Authentic Culinary Database
820,Kashmiri Pulao,Grains/Legumes,Indian,"Kashmiri, Basic Spices, Oil, Salt",Pulao,Breakfast,Easy,30,328,India,Authentic Culinary Database
821,Bhindi Masala,Produce,Indian,"Bhindi, Basic Spices, Oil, Salt",Bhindi,Lunch,Hard,17,217,India,Authentic Culinary Database
822,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Breakfast,Hard,35,349,India,Authentic Culinary Database
823,Buffalo Wings,Bakery,American,"Buffalo, Basic Spices, Oil, Salt",Buffalo,Lunch,Hard,23,345,India,Authentic Culinary Database
824,Fish Moilee,Protein,Indian,"Fish, Basic Spices, Oil, Salt",Fish,Snack,Hard,60,472,India,Authentic Culinary Database
825,Curd Rice,Grains/Legumes,Indian,"Curd, Basic Spices, Oil, Salt",Rice,Lunch,Easy,47,538,India,Authentic Culinary Database
826,Spring Rolls,Produce,Chinese,"Spring, Basic Spices, Oil, Salt",Spring,Breakfast,Easy,39,194,India,Authentic Culinary Database
827,Bhatura,Bakery,Indian,"Bhatura, Basic Spices, Oil, Salt",Bhatura,Dinner,Easy,19,456,India,Authentic Culinary Database
828,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Snack,Hard,57,276,India,Authentic Culinary Database
829,Lassi,Dairy,Indian,"Yogurt, Sugar/Salt, Cardamom",Lassi,Snack,Easy,33,641,India,Authentic Culinary Database
830,Bhatura,Bakery,Indian,"Bhatura, Basic Spices, Oil, Salt",Bhatura,Lunch,Hard,46,385,India,Authentic Culinary Database
831,Bruschetta,Bakery,Italian,"Bruschetta, Basic Spices, Oil, Salt",Bruschetta,Breakfast,Hard,22,210,India,Authentic Culinary Database
832,Churros,Bakery,Mexican,"Churros, Basic Spices, Oil, Salt",Churros,Dinner,Medium,59,452,India,Authentic Culinary Database
833,Jeera Rice,Grains/Legumes,Indian,"Basmati Rice, Cumin Seeds, Ghee",Rice,Snack,Easy,22,444,India,Authentic Culinary Database
834,Curd Rice,Grains/Legumes,Indian,"Curd, Basic Spices, Oil, Salt",Rice,Dinner,Hard,26,614,India,Authentic Culinary Database
835,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Breakfast,Medium,29,243,India,Authentic Culinary Database
836,Buttermilk (Chaas),Dairy,Indian,"Buttermilk, Basic Spices, Oil, Salt",Buttermilk,Dinner,Hard,15,248,India,Authentic Culinary Database
837,Neer Dosa,Bakery,Indian,"Neer, Basic Spices, Oil, Salt",Dosa,Dinner,Easy,59,673,India,Authentic Culinary Database
838,Cabbage Poriyal,Produce,Indian,"Cabbage, Basic Spices, Oil, Salt",Cabbage,Breakfast,Hard,59,406,India,Authentic Culinary Database
839,Black Chana Curry,Grains/Legumes,Indian,"Black Chana, Basic Spices, Oil, Salt",Black,Dinner,Easy,44,297,India,Authentic Culinary Database
840,Rogan Josh,Protein,Indian,"Mutton, Yogurt, Spices, Ginger",Josh,Snack,Medium,54,191,India,Authentic Culinary Database
841,Butter Chicken,Protein,Indian,"Butter, Tomato Puree, Butter, Cream, Spices",Butter,Lunch,Hard,42,245,India,Authentic Culinary Database
842,Bruschetta,Grains/Legumes,Italian,"Bruschetta, Basic Spices, Oil, Salt",Bruschetta,Snack,Medium,44,555,India,Authentic Culinary Database
843,Chicken Tacos,Bakery,Mexican,"Tortilla, Chicken, Salsa, Lettuce, Cheese",Tacos,Snack,Medium,51,446,India,Authentic Culinary Database
844,Rogan Josh,Protein,Indian,"Mutton, Yogurt, Spices, Ginger",Josh,Lunch,Medium,52,536,India,Authentic Culinary Database
845,Aloo Paratha,Bakery,Indian,"Aloo, Basic Spices, Oil, Salt",Paratha,Dinner,Medium,40,579,India,Authentic Culinary Database
846,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Lunch,Medium,25,524,India,Authentic Culinary Database
847,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Breakfast,Hard,58,303,India,Authentic Culinary Database
848,Bhatura,Bakery,Indian,"Bhatura, Basic Spices, Oil, Salt",Bhatura,Lunch,Hard,24,459,India,Authentic Culinary Database
849,Kashmiri Pulao,Grains/Legumes,Indian,"Kashmiri, Basic Spices, Oil, Salt",Pulao,Snack,Easy,52,661,India,Authentic Culinary Database
850,Keema Matar,Protein,Indian,"Keema, Basic Spices, Oil, Salt",Keema,Breakfast,Easy,36,295,India,Authentic Culinary Database
851,Vada,Grains/Legumes,Indian,"Vada, Basic Spices, Oil, Salt",Vada,Breakfast,Easy,56,680,India,Authentic Culinary Database
852,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Snack,Hard,60,699,India,Authentic Culinary Database
853,Vada,Grains/Legumes,Indian,"Vada, Basic Spices, Oil, Salt",Vada,Dinner,Medium,53,690,India,Authentic Culinary Database
854,Pongal,Grains/Legumes,Indian,"Pongal, Basic Spices, Oil, Salt",Pongal,Breakfast,Hard,40,657,India,Authentic Culinary Database
855,Burritos,Grains/Legumes,Mexican,"Burritos, Basic Spices, Oil, Salt",Burritos,Snack,Hard,58,686,India,Authentic Culinary Database
856,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Dinner,Easy,49,679,India,Authentic Culinary Database
857,Rabri,Dairy,Indian,"Milk, Sugar, Cardamom, Nuts",Rabri,Lunch,Easy,46,631,India,Authentic Culinary Database
858,Vegetable Pulao,Grains/Legumes,Indian,"Basmati Rice, Mixed Vegetables, Whole Spices",Pulao,Dinner,Hard,42,272,India,Authentic Culinary Database
859,Curd Rice,Grains/Legumes,Indian,"Curd, Basic Spices, Oil, Salt",Rice,Lunch,Easy,27,155,India,Authentic Culinary Database
860,Chow Mein,Bakery,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Snack,Easy,48,432,India,Authentic Culinary Database
861,Guacamole,Protein,Mexican,"Guacamole, Basic Spices, Oil, Salt",Guacamole,Dinner,Medium,18,626,India,Authentic Culinary Database
862,Black Chana Curry,Grains/Legumes,Indian,"Black Chana, Basic Spices, Oil, Salt",Black,Lunch,Medium,43,163,India,Authentic Culinary Database
863,Shahi Paneer,Dairy,Indian,"Paneer, Shahi, Basic Spices, Oil, Salt",Shahi,Dinner,Medium,31,216,India,Authentic Culinary Database
864,Chicken Saag,Protein,Indian,"Chicken, Basic Spices, Oil, Salt",Chicken,Snack,Easy,19,524,India,Authentic Culinary Database
865,Missi Roti,Bakery,Indian,"Missi, Basic Spices, Oil, Salt",Missi,Snack,Hard,45,262,India,Authentic Culinary Database
866,Pongal,Grains/Legumes,Indian,"Pongal, Basic Spices, Oil, Salt",Pongal,Lunch,Hard,16,322,India,Authentic Culinary Database
867,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Dinner,Hard,23,611,India,Authentic Culinary Database
868,Dal Khichdi,Grains/Legumes,Indian,"Dal, Basic Spices, Oil, Salt",Dal,Dinner,Hard,27,526,India,Authentic Culinary Database
869,Jeera Rice,Grains/Legumes,Indian,"Basmati Rice, Cumin Seeds, Ghee",Rice,Breakfast,Easy,41,266,India,Authentic Culinary Database
870,Prawn Roast,Protein,Indian,"Prawn, Basic Spices, Oil, Salt",Prawn,Dinner,Easy,32,295,India,Authentic Culinary Database
871,Lamb Korma,Protein,Indian,"Lamb, Basic Spices, Oil, Salt",Lamb,Breakfast,Hard,60,368,India,Authentic Culinary Database
872,Pongal,Grains/Legumes,Indian,"Pongal, Basic Spices, Oil, Salt",Pongal,Breakfast,Hard,50,253,India,Authentic Culinary Database
873,Fish Moilee,Protein,Indian,"Fish, Basic Spices, Oil, Salt",Fish,Breakfast,Medium,24,580,India,Authentic Culinary Database
874,Apple Pie,Grains/Legumes,American,"Apple, Basic Spices, Oil, Salt",Apple,Dinner,Medium,45,260,India,Authentic Culinary Database
875,Black Chana Curry,Grains/Legumes,Indian,"Black Chana, Basic Spices, Oil, Salt",Black,Snack,Medium,41,222,India,Authentic Culinary Database
876,Rajma Masala,Grains/Legumes,Indian,"Rajma, Basic Spices, Oil, Salt",Rajma,Lunch,Medium,29,326,India,Authentic Culinary Database
877,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Breakfast,Hard,46,257,India,Authentic Culinary Database
878,Mapo Tofu,Grains/Legumes,Chinese,"Mapo, Basic Spices, Oil, Salt",Mapo,Lunch,Hard,41,168,India,Authentic Culinary Database
879,Lassi,Dairy,Indian,"Yogurt, Sugar/Salt, Cardamom",Lassi,Breakfast,Medium,24,338,India,Authentic Culinary Database
880,Chow Mein,Produce,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Snack,Easy,36,395,India,Authentic Culinary Database
881,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Breakfast,Medium,23,561,India,Authentic Culinary Database
882,Fish Moilee,Protein,Indian,"Fish, Basic Spices, Oil, Salt",Fish,Snack,Medium,31,449,India,Authentic Culinary Database
883,Jeera Aloo,Produce,Indian,"Jeera, Basic Spices, Oil, Salt",Jeera,Lunch,Hard,52,199,India,Authentic Culinary Database
884,Shrikhand,Dairy,Indian,"Hung Curd, Sugar, Saffron, Cardamom",Shrikhand,Lunch,Easy,37,255,India,Authentic Culinary Database
885,Chicken Saag,Protein,Indian,"Chicken, Basic Spices, Oil, Salt",Chicken,Breakfast,Hard,39,165,India,Authentic Culinary Database
886,Fried Rice,Produce,Chinese,"Fried, Basic Spices, Oil, Salt",Rice,Dinner,Medium,42,377,India,Authentic Culinary Database
887,Fried Rice,Grains/Legumes,Chinese,"Fried, Basic Spices, Oil, Salt",Rice,Snack,Medium,40,344,India,Authentic Culinary Database
888,Fish Moilee,Protein,Indian,"Fish, Basic Spices, Oil, Salt",Fish,Lunch,Hard,35,511,India,Authentic Culinary Database
889,Butter Chicken,Protein,Indian,"Butter, Tomato Puree, Butter, Cream, Spices",Butter,Snack,Hard,41,457,India,Authentic Culinary Database
890,Churros,Bakery,Mexican,"Churros, Basic Spices, Oil, Salt",Churros,Snack,Medium,45,340,India,Authentic Culinary Database
891,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Lunch,Medium,55,316,India,Authentic Culinary Database
892,Chicken Tacos,Grains/Legumes,Mexican,"Tortilla, Chicken, Salsa, Lettuce, Cheese",Tacos,Dinner,Hard,26,415,India,Authentic Culinary Database
893,Vada Pav (Bun),Bakery,Indian,"Vada, Potato Fritter, Spicy Chutney",(Bun),Lunch,Hard,35,498,India,Authentic Culinary Database
894,Shrikhand,Dairy,Indian,"Hung Curd, Sugar, Saffron, Cardamom",Shrikhand,Snack,Hard,50,545,India,Authentic Culinary Database
895,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Breakfast,Easy,49,509,India,Authentic Culinary Database
896,Mutton Fry,Protein,Indian,"Mutton, Basic Spices, Oil, Salt",Mutton,Breakfast,Medium,54,176,India,Authentic Culinary Database
897,Moong Dal Payasam,Grains/Legumes,Indian,"Moong Dal, Basic Spices, Oil, Salt",Moong Dal,Lunch,Medium,34,162,India,Authentic Culinary Database
898,Drumstick Curry,Produce,Indian,"Drumstick, Basic Spices, Oil, Salt",Drumstick,Breakfast,Medium,58,430,India,Authentic Culinary Database
899,Egg Roast,Protein,Indian,"Egg, Basic Spices, Oil, Salt",Egg,Dinner,Hard,39,351,India,Authentic Culinary Database
900,Neer Dosa,Bakery,Indian,"Neer, Basic Spices, Oil, Salt",Dosa,Snack,Easy,23,328,India,Authentic Culinary Database
901,Vada Pav (Bun),Bakery,Indian,"Vada, Potato Fritter, Spicy Chutney",(Bun),Breakfast,Hard,35,356,India,Authentic Culinary Database
902,Rumali Roti,Bakery,Indian,"Rumali, Basic Spices, Oil, Salt",Rumali,Lunch,Hard,47,212,India,Authentic Culinary Database
903,Kadai Paneer,Dairy,Indian,"Paneer, Kadai, Basic Spices, Oil, Salt",Kadai,Breakfast,Medium,15,389,India,Authentic Culinary Database
904,Shrikhand,Dairy,Indian,"Hung Curd, Sugar, Saffron, Cardamom",Shrikhand,Snack,Easy,46,658,India,Authentic Culinary Database
905,Lacha Paratha,Bakery,Indian,"Lacha, Basic Spices, Oil, Salt",Paratha,Breakfast,Hard,22,544,India,Authentic Culinary Database
906,Rajma Masala,Grains/Legumes,Indian,"Rajma, Basic Spices, Oil, Salt",Rajma,Lunch,Medium,30,647,India,Authentic Culinary Database
907,Jeera Rice,Grains/Legumes,Indian,"Basmati Rice, Cumin Seeds, Ghee",Rice,Snack,Medium,31,159,India,Authentic Culinary Database
908,Malabar Fish Curry,Protein,Indian,"Malabar Fish, Basic Spices, Oil, Salt",Malabar,Lunch,Hard,30,400,India,Authentic Culinary Database
909,Burritos,Grains/Legumes,Mexican,"Burritos, Basic Spices, Oil, Salt",Burritos,Snack,Easy,59,576,India,Authentic Culinary Database
910,Pongal,Grains/Legumes,Indian,"Pongal, Basic Spices, Oil, Salt",Pongal,Dinner,Medium,42,432,India,Authentic Culinary Database
911,Margherita Pizza,Protein,Italian,"Flour, Tomato Sauce, Mozzarella Cheese, Basil",Pizza,Breakfast,Easy,45,685,India,Authentic Culinary Database
912,Chicken Tacos,Dairy,Mexican,"Tortilla, Chicken, Salsa, Lettuce, Cheese",Tacos,Breakfast,Easy,48,654,India,Authentic Culinary Database
913,Fish Moilee,Protein,Indian,"Fish, Basic Spices, Oil, Salt",Fish,Lunch,Hard,23,519,India,Authentic Culinary Database
914,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Lunch,Hard,51,462,India,Authentic Culinary Database
915,Margherita Pizza,Grains/Legumes,Italian,"Flour, Tomato Sauce, Mozzarella Cheese, Basil",Pizza,Snack,Hard,39,336,India,Authentic Culinary Database
916,Gulab Jamun,Dairy,Indian,"Gulab, Basic Spices, Oil, Salt",Gulab,Lunch,Hard,35,613,India,Authentic Culinary Database
917,Egg Roast,Protein,Indian,"Egg, Basic Spices, Oil, Salt",Egg,Snack,Easy,47,288,India,Authentic Culinary Database
918,Black Chana Curry,Grains/Legumes,Indian,"Black Chana, Basic Spices, Oil, Salt",Black,Dinner,Hard,39,291,India,Authentic Culinary Database
919,Spring Rolls,Grains/Legumes,Chinese,"Spring, Basic Spices, Oil, Salt",Spring,Breakfast,Medium,49,315,India,Authentic Culinary Database
920,Rumali Roti,Bakery,Indian,"Rumali, Basic Spices, Oil, Salt",Rumali,Breakfast,Hard,49,150,India,Authentic Culinary Database
921,Jeera Rice,Grains/Legumes,Indian,"Basmati Rice, Cumin Seeds, Ghee",Rice,Breakfast,Medium,39,217,India,Authentic Culinary Database
922,Pancakes,Protein,American,"Pancakes, Basic Spices, Oil, Salt",Pancakes,Dinner,Hard,44,526,India,Authentic Culinary Database
923,Chicken Saag,Protein,Indian,"Chicken, Basic Spices, Oil, Salt",Chicken,Lunch,Easy,48,503,India,Authentic Culinary Database
924,Curd Rice,Grains/Legumes,Indian,"Curd, Basic Spices, Oil, Salt",Rice,Lunch,Easy,17,452,India,Authentic Culinary Database
925,Lacha Paratha,Bakery,Indian,"Lacha, Basic Spices, Oil, Salt",Paratha,Breakfast,Easy,26,187,India,Authentic Culinary Database
926,Pongal,Grains/Legumes,Indian,"Pongal, Basic Spices, Oil, Salt",Pongal,Dinner,Medium,32,490,India,Authentic Culinary Database
927,Chow Mein,Grains/Legumes,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Snack,Hard,33,658,India,Authentic Culinary Database
928,Poori,Bakery,Indian,"Poori, Basic Spices, Oil, Salt",Poori,Breakfast,Medium,52,570,India,Authentic Culinary Database
929,Aloo Paratha,Bakery,Indian,"Aloo, Basic Spices, Oil, Salt",Paratha,Lunch,Easy,33,164,India,Authentic Culinary Database
930,Prawn Roast,Protein,Indian,"Prawn, Basic Spices, Oil, Salt",Prawn,Lunch,Easy,35,285,India,Authentic Culinary Database
931,Kashmiri Pulao,Grains/Legumes,Indian,"Kashmiri, Basic Spices, Oil, Salt",Pulao,Lunch,Medium,18,340,India,Authentic Culinary Database
932,Guacamole,Protein,Mexican,"Guacamole, Basic Spices, Oil, Salt",Guacamole,Breakfast,Hard,33,252,India,Authentic Culinary Database
933,Lassi,Dairy,Indian,"Yogurt, Sugar/Salt, Cardamom",Lassi,Dinner,Hard,15,642,India,Authentic Culinary Database
934,Tandoori Chicken,Protein,Indian,"Tandoori, Basic Spices, Oil, Salt",Tandoori,Breakfast,Easy,43,662,India,Authentic Culinary Database
935,Lemon Rice,Grains/Legumes,Indian,"Lemon, Basic Spices, Oil, Salt",Rice,Snack,Easy,19,194,India,Authentic Culinary Database
936,Neer Dosa,Bakery,Indian,"Neer, Basic Spices, Oil, Salt",Dosa,Dinner,Hard,49,311,India,Authentic Culinary Database
937,Lasagna,Protein,Italian,"Lasagna, Basic Spices, Oil, Salt",Lasagna,Snack,Hard,16,361,India,Authentic Culinary Database
938,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Snack,Medium,27,257,India,Authentic Culinary Database
939,Paneer Tikka,Dairy,Indian,"Paneer, Basic Spices, Oil, Salt",Paneer,Dinner,Medium,47,327,India,Authentic Culinary Database
940,Prawn Roast,Protein,Indian,"Prawn, Basic Spices, Oil, Salt",Prawn,Dinner,Medium,19,439,India,Authentic Culinary Database
941,Vegetable Pulao,Grains/Legumes,Indian,"Basmati Rice, Mixed Vegetables, Whole Spices",Pulao,Snack,Hard,53,205,India,Authentic Culinary Database
942,Kung Pao Chicken,Grains/Legumes,Chinese,"Kung Pao, Peanuts, Soy Sauce, Chili",Kung Pao,Dinner,Hard,31,583,India,Authentic Culinary Database
943,Risotto,Protein,Italian,"Risotto, Basic Spices, Oil, Salt",Risotto,Breakfast,Medium,51,473,India,Authentic Culinary Database
944,Goan Fish Curry,Protein,Indian,"Goan Fish, Basic Spices, Oil, Salt",Goan,Breakfast,Medium,17,466,India,Authentic Culinary Database
945,Chow Mein,Grains/Legumes,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Breakfast,Medium,43,459,India,Authentic Culinary Database
946,Dal Khichdi,Grains/Legumes,Indian,"Dal, Basic Spices, Oil, Salt",Dal,Dinner,Hard,27,174,India,Authentic Culinary Database
947,Keema Matar,Protein,Indian,"Keema, Basic Spices, Oil, Salt",Keema,Lunch,Hard,58,265,India,Authentic Culinary Database
948,Gajar Ka Halwa,Dairy,Indian,"Gajar Ka, Basic Spices, Oil, Salt",Gajar Ka,Snack,Hard,22,602,India,Authentic Culinary Database
949,Medu Vada,Grains/Legumes,Indian,"Medu, Basic Spices, Oil, Salt",Medu,Breakfast,Easy,41,212,India,Authentic Culinary Database
950,Chow Mein,Grains/Legumes,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Snack,Easy,27,473,India,Authentic Culinary Database
951,Spring Rolls,Grains/Legumes,Chinese,"Spring, Basic Spices, Oil, Salt",Spring,Snack,Hard,51,403,India,Authentic Culinary Database
952,Medu Vada,Grains/Legumes,Indian,"Medu, Basic Spices, Oil, Salt",Medu,Lunch,Easy,39,289,India,Authentic Culinary Database
953,Kheer,Dairy,Indian,"Kheer, Basic Spices, Oil, Salt",Kheer,Lunch,Easy,40,457,India,Authentic Culinary Database
954,Kung Pao Chicken,Dairy,Chinese,"Kung Pao, Peanuts, Soy Sauce, Chili",Kung Pao,Snack,Hard,54,170,India,Authentic Culinary Database
955,Keema Matar,Protein,Indian,"Keema, Basic Spices, Oil, Salt",Keema,Breakfast,Medium,37,401,India,Authentic Culinary Database
956,Chicken Tacos,Grains/Legumes,Mexican,"Tortilla, Chicken, Salsa, Lettuce, Cheese",Tacos,Dinner,Easy,22,154,India,Authentic Culinary Database
957,Margherita Pizza,Protein,Italian,"Flour, Tomato Sauce, Mozzarella Cheese, Basil",Pizza,Snack,Medium,60,264,India,Authentic Culinary Database
958,Bisi Bele Bath,Grains/Legumes,Indian,"Bisi Bele, Basic Spices, Oil, Salt",Bisi Bele,Lunch,Medium,47,693,India,Authentic Culinary Database
959,Tiramisu,Grains/Legumes,Italian,"Tiramisu, Basic Spices, Oil, Salt",Tiramisu,Snack,Easy,25,636,India,Authentic Culinary Database
960,Chow Mein,Grains/Legumes,Chinese,"Chow, Basic Spices, Oil, Salt",Chow,Snack,Medium,47,289,India,Authentic Culinary Database
961,Buffalo Wings,Bakery,American,"Buffalo, Basic Spices, Oil, Salt",Buffalo,Lunch,Easy,60,404,India,Authentic Culinary Database
962,Chicken Tacos,Protein,Mexican,"Tortilla, Chicken, Salsa, Lettuce, Cheese",Tacos,Dinner,Hard,60,568,India,Authentic Culinary Database
963,Kashmiri Pulao,Grains/Legumes,Indian,"Kashmiri, Basic Spices, Oil, Salt",Pulao,Snack,Medium,57,617,India,Authentic Culinary Database
964,Medu Vada,Grains/Legumes,Indian,"Medu, Basic Spices, Oil, Salt",Medu,Lunch,Medium,56,303,India,Authentic Culinary Database
965,Bruschetta,Grains/Legumes,Italian,"Bruschetta, Basic Spices, Oil, Salt",Bruschetta,Breakfast,Easy,30,663,India,Authentic Culinary Database
966,Cheeseburger,Grains/Legumes,American,"Cheeseburger, Beef Patty, Cheese, Lettuce, Tomato",Cheeseburger,Snack,Medium,36,357,India,Authentic Culinary Database
967,Neer Dosa,Bakery,Indian,"Neer, Basic Spices, Oil, Salt",Dosa,Lunch,Hard,32,311,India,Authentic Culinary Database
